校区,开课学院,课程代码,课程名称,学号,考试时间,考试地点
仙林,理学院,H0600031S,线性代数与解析几何,10004124,2014年02月22日(13:30-15:20),教2-209
仙林,电子科学与工程学院,H0204111S,电磁场与传输理论,11002027,2014年02月20日(18:30-20:20),教2-400
仙林,理学院,H0600011S,高等数学AⅠ,11002206,2014年02月21日(18:30-20:20),教3-309
仙林,理学院,H0600031S,线性代数与解析几何,11002206,2014年02月22日(13:30-15:20),教2-209
仙林,理学院,H0600011S,高等数学AⅠ,11002217,2014年02月21日(18:30-20:20),教3-309
仙林,理学院,H0600031S,线性代数与解析几何,11002217,2014年02月22日(13:30-15:20),教2-209
仙林,理学院,H0600031S,线性代数与解析几何,11005030,2014年02月22日(13:30-15:20),教2-209
仙林,通信与信息工程学院,B0200031S,信号与系统A,B06020517,2014年02月19日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0211101S,电视原理,B06020517,2014年02月18日(16:00-17:50),教2-301
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B06020517,2014年02月20日(18:30-20:20),教2-209
仙林,理学院,B0600011S,高等数学A(上),B06020517,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600031S,线性代数与解析几何,B06020517,2014年02月22日(13:30-15:20),教2-101
仙林,理学院,B0600041S,数理方程,B06020517,2014年02月17日(18:30-20:20),教2-209
仙林,理学院,B0600321S,大学物理(下),B06020517,2014年02月22日(10:25-12:15),教2-101
三牌楼,理学院,B0600011S,高等数学A(上),B06020612,2014年02月21日(18:30-20:20),图7
仙林,电工电子实验教学中心,B1100011S,电工电子实验（一）,B06022317,2014年02月18日(18:30-20:20),教3-216
三牌楼,通信与信息工程学院,B0209043S,信息论基础C,B06022634,2014年02月18日(16:00-17:50),图7
三牌楼,计算机学院,B0300011S,高级语言程序设计,B06022634,2014年02月21日(16:00-17:50),图7
仙林,计算机学院,B0301072S,微型计算机接口技术,B06030910,2014年02月22日(18:30-20:20),教2-300
仙林,理学院,B0600321S,大学物理(下),B06030910,2014年02月22日(10:25-12:15),教2-101
仙林,计算机学院,B0300051S,数据结构A,B06031111,2014年02月18日(18:30-20:20),教3-300
仙林,计算机学院,B0301061S,汇编语言程序设计,B06031111,2014年02月18日(16:00-17:50),教2-202
仙林,计算机学院,B0301072S,微型计算机接口技术,B06031111,2014年02月22日(18:30-20:20),教2-300
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,B06031111,2014年02月22日(07:50-09:40),教2-102
仙林,理学院,B0600321S,大学物理(下),B06031111,2014年02月22日(10:25-12:15),教2-101
仙林,计算机学院,B0301152S,计算机通信与网络,B06031114,2014年02月22日(13:30-15:20),教2-309
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,B06031114,2014年02月19日(16:00-17:50),教2-102
仙林,软件学院,B1201282C,计算机图形学,B06031114,2014年02月17日(16:00-17:50),教2-208
仙林,通信与信息工程学院,B0200032S,信号与系统B,B06031120,2014年02月19日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0200013S,通信原理C,B06040319,2014年02月22日(07:50-09:40),教2-101
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B06040319,2014年02月22日(18:30-20:20),教2-101
仙林,通信与信息工程学院,B0200032S,信号与系统B,B06050222,2014年02月19日(18:30-20:20),教2-300
仙林,自动化学院,B0500011S,自动控制原理,B06050222,2014年02月18日(18:30-20:20),教2-213
仙林,自动化学院,B0502511S,应用光学基础,B06050222,2014年02月20日(18:30-20:20),教3-301
仙林,自动化学院,B0502521S,精密机械学基础,B06050222,2014年02月17日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B06050222,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600031S,线性代数与解析几何,B06050222,2014年02月22日(13:30-15:20),教2-101
仙林,理学院,B0600061S,概率论与数理统计,B06050222,2014年02月22日(16:00-17:50),教2-400
仙林,理学院,B0600321S,大学物理(下),B06050222,2014年02月22日(10:25-12:15),教2-101
仙林,外国语学院,B0800032S,大学英语Ⅲ,B06050222,2014年02月18日(16:00-18:00),教2-202
仙林,外国语学院,B0800042S,大学英语Ⅳ,B06050222,2014年02月20日(16:00-18:00),教2-102
仙林,通信与信息工程学院,B0200032S,信号与系统B,B06050433,2014年02月19日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0200032S,信号与系统B,B06050716,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0300011S,高级语言程序设计,B06050716,2014年02月21日(16:00-17:50),教2-101
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B06050716,2014年02月22日(18:30-20:20),教2-101
仙林,理学院,B0600321S,大学物理(下),B06050726,2014年02月22日(10:25-12:15),教2-101
仙林,计算机学院,B0300011S,高级语言程序设计,B06051031,2014年02月21日(16:00-17:50),教2-101
仙林,自动化学院,B0503321C,电力电子装置及控制,B06051031,2014年02月15日(16:00-17:50),教2-101
仙林,理学院,B0600321S,大学物理(下),B06060109,2014年02月22日(10:25-12:15),教2-101
仙林,理学院,B0601012S,数学分析(上),B06060109,2014年02月22日(13:30-15:20),教2-402
仙林,理学院,B0601140S,离散数学,B06060115,2014年02月22日(07:50-09:40),教2-300
仙林,通信与信息工程学院,B0200011S,通信原理A,B07020316,2014年02月17日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0211101S,电视原理,B07020316,2014年02月18日(16:00-17:50),教2-301
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B07020316,2014年02月22日(18:30-20:20),教2-101
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B07020510,2014年02月19日(18:30-20:20),图7
三牌楼,计算机学院,B0300062S,微型计算机原理与接口技术,B07020510,2014年02月22日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0200021S,数字信号处理A（双语）,B07021209,2014年02月21日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B07021209,2014年02月19日(18:30-20:20),图7
三牌楼,电子科学与工程学院,B0204111S,电磁场与传输理论A,B07021209,2014年02月20日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0200021S,数字信号处理A（双语）,B07021211,2014年02月21日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0203061C,网络监控与管理,B07021211,2014年02月22日(18:30-20:20),图7
三牌楼,电子科学与工程学院,B0400051S,通信电子线路,B07021211,2014年02月22日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B07021213,2014年02月19日(18:30-20:20),图7
三牌楼,电子科学与工程学院,B0204111S,电磁场与传输理论A,B07021213,2014年02月20日(18:30-20:20),图7
三牌楼,计算机学院,B0300011S,高级语言程序设计,B07021213,2014年02月21日(16:00-17:50),图7
三牌楼,电子科学与工程学院,B0400051S,通信电子线路,B07021213,2014年02月22日(16:00-17:50),图7
三牌楼,理学院,B0600321S,大学物理(下),B07021213,2014年02月22日(10:25-12:15),图7
仙林,计算机学院,B0301061S,汇编语言程序设计,B07030528,2014年02月18日(16:00-17:50),教2-202
仙林,理学院,B0600321S,大学物理(下),B07030528,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200032S,信号与系统B,B07030809,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0300051S,数据结构A,B07030809,2014年02月18日(18:30-20:20),教3-300
仙林,计算机学院,B0301061S,汇编语言程序设计,B07030809,2014年02月18日(16:00-17:50),教2-202
仙林,计算机学院,B0302021S,离散数学,B07030809,2014年02月17日(18:30-20:20),教2-400
仙林,通信与信息工程学院,B0200032S,信号与系统B,B07030816,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0300051S,数据结构A,B07030816,2014年02月18日(18:30-20:20),教3-300
仙林,计算机学院,B0301081S,操作系统A,B07030816,2014年02月17日(16:00-17:50),教2-208
仙林,理学院,B0600321S,大学物理(下),B07030816,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200032S,信号与系统B,B07030913,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0301061S,汇编语言程序设计,B07030913,2014年02月18日(16:00-17:50),教2-202
仙林,计算机学院,B0301072S,微型计算机接口技术,B07030913,2014年02月22日(18:30-20:20),教2-300
仙林,计算机学院,B0301081S,操作系统A,B07030913,2014年02月17日(16:00-17:50),教2-208
仙林,计算机学院,B0301152S,计算机通信与网络,B07030913,2014年02月22日(13:30-15:20),教2-309
仙林,计算机学院,B0302021S,离散数学,B07030913,2014年02月17日(18:30-20:20),教2-400
仙林,电子科学与工程学院,B0400032S,数字电路与逻辑设计B,B07030913,2014年02月19日(16:00-17:50),教2-102
仙林,理学院,B0600321S,大学物理(下),B07030913,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200013S,通信原理C,B07040315,2014年02月22日(07:50-09:40),教2-101
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B07040315,2014年02月22日(18:30-20:20),教2-101
仙林,电子科学与工程学院,B0401021S,半导体集成电路工艺,B07040315,2014年02月17日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0401221S,半导体物理,B07040315,2014年02月16日(13:30-15:20),教2-201
仙林,外国语学院,B0800032S,大学英语Ⅲ,B07040315,2014年02月18日(16:00-18:00),教2-202
仙林,通信与信息工程学院,B0200013S,通信原理C,B07040411,2014年02月22日(07:50-09:40),教2-101
仙林,计算机学院,B0300011S,高级语言程序设计,B07040411,2014年02月21日(16:00-17:50),教2-101
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B07040411,2014年02月22日(18:30-20:20),教2-101
仙林,光电工程学院,B0403031S,应用光学（双语）,B07040411,2014年02月17日(16:00-17:50),教2-202
仙林,光电工程学院,B0403051S,固体电子导论,B07040411,2014年02月22日(13:30-15:20),教2-308
仙林,光电工程学院,B0404021S,物理光学,B07040411,2014年02月18日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0200032S,信号与系统B,B07040420,2014年02月19日(18:30-20:20),教2-300
仙林,理学院,B0600071S,概率统计和随机过程,B07040420,2014年02月22日(16:00-17:50),教2-208
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B07040906,2014年02月20日(18:30-20:20),教2-209
仙林,理学院,B0600071S,概率统计和随机过程,B07040906,2014年02月22日(16:00-17:50),教2-208
仙林,理学院,B0600321S,大学物理(下),B07040906,2014年02月22日(10:25-12:15),教2-101
仙林,外国语学院,B0800032S,大学英语Ⅲ,B07040906,2014年02月18日(16:00-18:00),教2-202
仙林,理学院,B0600321S,大学物理(下),B07050108,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200013S,通信原理C,B07050910,2014年02月22日(07:50-09:40),教2-101
仙林,自动化学院,B0503102S,电力电子技术,B07050910,2014年02月20日(16:00-17:50),教2-101
仙林,理学院,B0600411S,制图基础及计算机绘图,B07050910,2014年02月18日(18:30-20:20),教2-400
仙林,自动化学院,B0500011S,自动控制原理,B07050919,2014年02月18日(18:30-20:20),教2-213
仙林,自动化学院,B0503102S,电力电子技术,B07050919,2014年02月20日(16:00-17:50),教2-101
仙林,自动化学院,B0503311S,电力系统分析,B07050919,2014年02月22日(07:50-09:40),教2-202
仙林,理学院,B0600011S,高等数学A(上),B07050919,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600061S,概率论与数理统计,B07100209,2014年02月22日(16:00-17:50),教2-400
三牌楼,理学院,B0600061S,概率论与数理统计,B08010422,2014年02月22日(16:00-17:50),图7
仙林,通信与信息工程学院,B0200033S,信号与系统C,B08020130,2014年02月19日(18:30-20:20),教2-309
仙林,计算机学院,B0300011S,高级语言程序设计,B08020130,2014年02月21日(16:00-17:50),教2-101
仙林,理学院,B0600071S,概率统计和随机过程,B08020130,2014年02月22日(16:00-17:50),教2-208
三牌楼,通信与信息工程学院,B0211101S,电视原理,B08020225,2014年02月18日(16:00-17:50),图7
三牌楼,计算机学院,B0300062S,微型计算机原理与接口技术,B08020230,2014年02月22日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0200021S,数字信号处理A（双语）,B08020523,2014年02月21日(16:00-17:50),图7
仙林,通信与信息工程学院,B0200011S,通信原理A,B08020832,2014年02月17日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0200031S,信号与系统A,B08020832,2014年02月19日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0202013S,交换技术基础,B08020832,2014年02月20日(16:00-17:50),教2-202
仙林,电子科学与工程学院,B0204111S,电磁场与传输理论A,B08020832,2014年02月20日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0207171C,软件工程,B08020832,2014年02月18日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0209043S,信息论基础C,B08020832,2014年02月18日(16:00-17:50),教2-301
仙林,计算机学院,B0300011S,高级语言程序设计,B08020832,2014年02月21日(16:00-17:50),教2-101
仙林,电子科学与工程学院,B0400041S,模拟电子线路,B08020832,2014年02月19日(16:00-17:50),教2-101
仙林,电子科学与工程学院,B0400051S,通信电子线路,B08020832,2014年02月22日(16:00-17:50),教2-308
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B08022035,2014年02月19日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0202013S,交换技术基础,B08022035,2014年02月20日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0209043S,信息论基础C,B08022035,2014年02月18日(16:00-17:50),图7
三牌楼,理学院,B0600071S,概率统计和随机过程,B08022035,2014年02月22日(16:00-17:50),图7
仙林,电工电子实验教学中心,B1100011S,电工电子实验（一）,B08022035,2014年02月18日(18:30-20:20),教3-216
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B08022214,2014年02月19日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B08022215,2014年02月19日(18:30-20:20),图7
三牌楼,计算机学院,B0300062S,微型计算机原理与接口技术,B08022215,2014年02月22日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0207161C,网络信息安全,B08022235,2014年02月20日(18:30-20:20),图7
,理学院,B0600341S,物理实验,B08022235,本课程考核为实践操作，具体要求请于2月15日前联系葛老师，联系电话85866175,
仙林,通信与信息工程学院,B0200032S,信号与系统B,B08031007,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0301072S,微型计算机接口技术,B08031007,2014年02月22日(18:30-20:20),教2-300
仙林,计算机学院,B0302021S,离散数学,B08031007,2014年02月17日(18:30-20:20),教2-400
仙林,理学院,B0600071S,概率统计和随机过程,B08031007,2014年02月22日(16:00-17:50),教2-208
仙林,理学院,B0600321S,大学物理(下),B08031007,2014年02月22日(10:25-12:15),教2-101
仙林,外国语学院,B0800042S,大学英语Ⅳ,B08031007,2014年02月20日(16:00-18:00),教2-102
仙林,通信与信息工程学院,B0200032S,信号与系统B,B08031010,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0301152S,计算机通信与网络,B08031010,2014年02月22日(13:30-15:20),教2-309
仙林,计算机学院,B0302021S,离散数学,B08031010,2014年02月17日(18:30-20:20),教2-400
仙林,通信与信息工程学院,B0200013S,通信原理C,B08040229,2014年02月22日(07:50-09:40),教2-101
仙林,通信与信息工程学院,B0200031S,信号与系统A,B08040229,2014年02月19日(18:30-20:20),教2-209
仙林,计算机学院,B0300052S,数据结构B,B08040229,2014年02月18日(18:30-20:20),教2-309
仙林,理学院,B0600041S,数理方程,B08040229,2014年02月17日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0200032S,信号与系统B,B08041136,2014年02月19日(18:30-20:20),教2-300
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B08041136,2014年02月20日(18:30-20:20),教2-209
仙林,理学院,B0600071S,概率统计和随机过程,B08041136,2014年02月22日(16:00-17:50),教2-208
仙林,理学院,B0600321S,大学物理(下),B08041136,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200013S,通信原理C,B08041139,2014年02月22日(07:50-09:40),教2-101
仙林,通信与信息工程学院,B0200022S,数字信号处理B,B08041139,2014年02月19日(16:00-17:50),教2-300
仙林,通信与信息工程学院,B0200032S,信号与系统B,B08041139,2014年02月19日(18:30-20:20),教2-300
仙林,计算机学院,B0300011S,高级语言程序设计,B08041139,2014年02月21日(16:00-17:50),教2-101
仙林,光电工程学院,B0404021S,物理光学,B08041139,2014年02月18日(16:00-17:50),教2-101
仙林,理学院,B0600011S,高等数学A(上),B08041139,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600031S,线性代数与解析几何,B08041139,2014年02月22日(13:30-15:20),教2-101
仙林,马克思主义学院,B0900042S,毛泽东思想和中国特色社会主义理论体系概论,B08041139,2014年02月17日(18:30-20:20),教2-300
仙林,自动化学院,B0502021S,图形化程序设计语言(双语),B08050114,2014年02月20日(16:00-17:50),教2-202
仙林,通信与信息工程学院,B0200031S,信号与系统A,B08050338,2014年02月19日(18:30-20:20),教2-209
仙林,计算机学院,B0300011S,高级语言程序设计,B08060127,2014年02月21日(16:00-17:50),教2-101
仙林,理学院,B0601121S,数值代数,B08060127,2014年02月19日(18:30-20:20),教3-400
仙林,计算机学院,B0300011S,高级语言程序设计,B08060218,2014年02月21日(16:00-17:50),教2-101
仙林,电子科学与工程学院,B0400081S,电工电子技术基础,B08060218,2014年02月20日(18:30-20:20),教3-300
仙林,理学院,B0600321S,大学物理(下),B08060218,2014年02月22日(10:25-12:15),教2-101
仙林,理学院,B0601032S,数学分析(下),B08060218,2014年02月22日(16:00-17:50),教2-209
仙林,理学院,B0601121S,数值代数,B08060218,2014年02月19日(18:30-20:20),教3-400
仙林,理学院,B0601161S,运筹与优化,B08060218,2014年02月19日(16:00-17:50),教2-202
仙林,理学院,B0601511S,计算机组成原理,B08060218,2014年02月16日(10:25-12:15),教2-101
仙林,理学院,B0606031S,数据库原理（双语）,B08060218,2014年02月17日(18:30-20:20),教2-213
仙林,电子科学与工程学院,B0400081S,电工电子技术基础,B08060219,2014年02月20日(18:30-20:20),教3-300
仙林,理学院,B0601032S,数学分析(下),B08060219,2014年02月22日(16:00-17:50),教2-209
仙林,理学院,B0601121S,数值代数,B08060219,2014年02月19日(18:30-20:20),教3-400
仙林,理学院,B0601161S,运筹与优化,B08060219,2014年02月19日(16:00-17:50),教2-202
仙林,理学院,B0601511S,计算机组成原理,B08060219,2014年02月16日(10:25-12:15),教2-101
仙林,理学院,B0606031S,数据库原理（双语）,B08060219,2014年02月17日(18:30-20:20),教2-213
仙林,马克思主义学院,B0900022S,马克思主义基本原理概论,B08060219,2014年02月16日(13:30-15:20),教2-102
仙林,经济学院,B0101131S,货币银行学,B08060321,2014年02月15日(10:25-12:15),教2-101
仙林,理学院,B0600321S,大学物理(下),B08060321,2014年02月22日(10:25-12:15),教2-101
仙林,理学院,B0601311S,代数与几何（上）,B08060321,2014年02月18日(18:30-20:20),教2-402
仙林,计算机学院,B0300011S,高级语言程序设计,B08060322,2014年02月21日(16:00-17:50),教2-101
仙林,外国语学院,B0800042S,大学英语Ⅳ,B08060322,2014年02月20日(16:00-18:00),教2-102
仙林,理学院,B0603021S,电磁学,B08060524,2014年02月20日(18:30-20:20),教3-301
仙林,理学院,B0603051S,光学,B08060524,2014年02月17日(18:30-20:20),教2-213
仙林,理学院,B0603201S,电子电路基础,B08060524,2014年02月18日(16:00-17:50),教2-300
仙林,理学院,B0600071S,概率统计和随机过程,B08070111,2014年02月22日(16:00-17:50),教2-208
仙林,理学院,B0600321S,大学物理(下),B08070111,2014年02月22日(10:25-12:15),教2-101
仙林,理学院,B0601141S,离散数学,B08070111,2014年02月22日(07:50-09:40),教2-300
仙林,通信与信息工程学院,B0200041S,信号分析与信号处理,B08070121,2014年02月19日(18:30-20:20),教2-309
仙林,电子科学与工程学院,B0400081S,电工电子技术基础,B08070121,2014年02月20日(18:30-20:20),教3-300
仙林,理学院,B0601141S,离散数学,B08070121,2014年02月22日(07:50-09:40),教2-300
仙林,计算机学院,B0300011S,高级语言程序设计,B08100307,2014年02月21日(16:00-17:50),计算中心A1机房
仙林,软件学院,B1201072S,数据结构与算法,B08100307,2014年02月16日(13:30-15:20),教2-202
仙林,软件学院,B1201082S,基于ADO.NET和XML的数据库高级应用开发,B08100307,2014年02月17日(18:30-20:20),教2-400
仙林,软件学院,B1201142S,基于UML的面向对象分析与设计,B08100307,2014年02月18日(18:30-20:20),教2-213
仙林,软件学院,B1201152S,代码优化与性能调优,B08100307,2014年02月18日(16:00-17:50),教2-202
仙林,软件学院,B1201162S,WEB服务和分布式应用程序开发,B08100307,2014年02月16日(10:25-12:15),教2-102
仙林,软件学院,B1201282C,计算机图形学,B08100307,2014年02月17日(16:00-17:50),教2-208
仙林,软件学院,B1201381S,计算机接口技术,B08100307,2014年02月19日(18:30-20:20),教3-400
仙林,软件学院,B1201381S,计算机接口技术,B08100326,2014年02月19日(18:30-20:20),教3-400
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B08100330,2014年02月22日(18:30-20:20),教2-101
仙林,计算机学院,B0301152S,计算机通信与网络,B08100330,2014年02月22日(13:30-15:20),教2-309
仙林,软件学院,B1201142S,基于UML的面向对象分析与设计,B08100330,2014年02月18日(18:30-20:20),教2-213
仙林,软件学院,B1201282C,计算机图形学,B08100330,2014年02月17日(16:00-17:50),教2-208
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B09010613,2014年02月19日(18:30-20:20),图7
三牌楼,电子科学与工程学院,B0204111S,电磁场与传输理论A,B09010613,2014年02月20日(18:30-20:20),图7
仙林,通信与信息工程学院,B0200011S,通信原理A,B09010720,2014年02月17日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0200031S,信号与系统A,B09010720,2014年02月19日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0202013S,交换技术基础,B09010720,2014年02月20日(16:00-17:50),教2-202
仙林,电子科学与工程学院,B0204111S,电磁场与传输理论A,B09010720,2014年02月20日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0209043S,信息论基础C,B09010720,2014年02月18日(16:00-17:50),教2-301
仙林,电子科学与工程学院,B0400041S,模拟电子线路,B09010720,2014年02月19日(16:00-17:50),教2-101
仙林,电子科学与工程学院,B0400051S,通信电子线路,B09010720,2014年02月22日(16:00-17:50),教2-308
仙林,理学院,B0600011S,高等数学A(上),B09010720,2014年02月21日(18:30-20:20),教2-209
仙林,理学院,B0600031S,线性代数与解析几何,B09010720,2014年02月22日(13:30-15:20),教2-101
仙林,理学院,B0600321S,大学物理(下),B09010720,2014年02月22日(10:25-12:15),教2-101
仙林,通信与信息工程学院,B0200011S,通信原理A,B09010722,2014年02月17日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0200031S,信号与系统A,B09010722,2014年02月19日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0202013S,交换技术基础,B09010722,2014年02月20日(16:00-17:50),教2-202
仙林,电子科学与工程学院,B0204111S,电磁场与传输理论A,B09010722,2014年02月20日(18:30-20:20),教2-300
仙林,通信与信息工程学院,B0209043S,信息论基础C,B09010722,2014年02月18日(16:00-17:50),教2-301
仙林,电子科学与工程学院,B0400031S,数字电路与逻辑设计,B09010722,2014年02月22日(07:50-09:40),教2-102
仙林,电子科学与工程学院,B0400051S,通信电子线路,B09010722,2014年02月22日(16:00-17:50),教2-308
三牌楼,通信与信息工程学院,B0211101S,电视原理,B09011125,2014年02月18日(16:00-17:50),图7
三牌楼,理学院,B0600041S,数理方程,B09011125,2014年02月17日(18:30-20:20),图7
仙林,通信与信息工程学院,B0200011S,通信原理A,B09011221,2014年02月17日(16:00-17:50),教2-101
仙林,通信与信息工程学院,B0211101S,电视原理,B09011221,2014年02月18日(16:00-17:50),教2-301
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B09011221,2014年02月22日(18:30-20:20),教2-101
仙林,理学院,B0600041S,数理方程,B09011221,2014年02月17日(18:30-20:20),教2-209
仙林,理学院,B0600321S,大学物理(下),B09011226,2014年02月22日(10:25-12:15),教2-101
三牌楼,通信与信息工程学院,B0200031S,信号与系统A,B09011329,2014年02月19日(18:30-20:20),图7
三牌楼,计算机学院,B0300062S,微型计算机原理与接口技术,B09011329,2014年02月22日(18:30-20:20),图7
三牌楼,通信与信息工程学院,B0207161C,网络信息安全,B09011338,2014年02月20日(18:30-20:20),图7
三牌楼,计算机学院,B0300062S,微型计算机原理与接口技术,B09011338,2014年02月22日(18:30-20:20),图7
三牌楼,计算机学院,B0300011S,高级语言程序设计,B09011406,2014年02月21日(16:00-17:50),图7
仙林,计算机学院,B0300011S,高级语言程序设计,B09011526,2014年02月21日(16:00-17:50),教2-101
仙林,计算机学院,B0300052S,数据结构B,B09011526,2014年02月18日(18:30-20:20),教2-309
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B09011526,2014年02月22日(18:30-20:20),教2-101
仙林,理学院,B0600321S,大学物理(下),B09011526,2014年02月22日(10:25-12:15),教2-101
仙林,物联网学院,B1801140S,数据库系统原理,B09011526,2014年02月19日(16:00-17:50),教2-202
仙林,物联网学院,B1801291S,操作系统原理,B09011526,2014年02月22日(13:30-15:20),教2-402
仙林,物联网学院,B1801381S,计算机网络,B09011526,2014年02月18日(16:00-17:50),教2-300
三牌楼,通信与信息工程学院,B0202013S,交换技术基础,B09011621,2014年02月20日(16:00-17:50),图7
三牌楼,理学院,B0600071S,概率统计和随机过程,B09011621,2014年02月22日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0200011S,通信原理A,B09011915,2014年02月17日(16:00-17:50),图7
三牌楼,通信与信息工程学院,B0200021S,数字信号处理A（双语）,B09011915,2014年02月21日(16:00-17:50),图7
三牌楼,电子科学与工程学院,B0400041S,模拟电子线路,B09011915,2014年02月19日(16:00-17:50),图7
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B09020523,2014年02月22日(18:30-20:20),教2-101
仙林,电子科学与工程学院,B0400051S,通信电子线路,B09020523,2014年02月22日(16:00-17:50),教2-308
仙林,管理学院,B0100011C,现代管理科学基础,B09020616,2014年02月18日(18:30-20:20),教2-209
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B09020616,2014年02月20日(18:30-20:20),教2-209
仙林,理学院,B0600041S,数理方程,B09020616,2014年02月17日(18:30-20:20),教2-209
仙林,通信与信息工程学院,B0200013S,通信原理C,B09020622,2014年02月22日(07:50-09:40),教2-101
仙林,通信与信息工程学院,B0200031S,信号与系统A,B09020622,2014年02月19日(18:30-20:20),教2-209
仙林,计算机学院,B0300062S,微型计算机原理与接口技术,B09020622,2014年02月22日(18:30-20:20),教2-101
仙林,电子科学与工程学院,B0400042S,模拟电子技术,B09020622,2014年02月20日(18:30-20:20),教2-209
仙林,电子科学与工程学院,B0401021S,半导体集成电路工艺,B09020622,2014年02月17日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0401221S,半导体物理,B09020622,2014年02月16日(13:30-15:20),教2-201
仙林,理学院,B0600321S,大学物理(下),B09020622,2014年02月22日(10:25-12:15),教2-101
仙林,电工电子实验教学中心,B1100011S,电工电子实验（一）,B09020622,2014年02月18日(18:30-20:20),教3-216
仙林,通信与信息工程学院,B0200013S,通信原理C,B09030316,2014年02月22日(07:50-09:40),教2-101
仙林,通信与信息工程学院,B0200032S,信号与系统B,B09030316,2014年02月19日(18:30-20:20),教2-300
仙林,光电工程学院,B0402071C,光纤传输技术,B09030316,2014年02月22日(16:00-17:50),教2-309
仙林,光电工程学院,B0403051S,固体电子导论,B09030316,2014年02月22日(13:30-15:20),教2-308
仙林,光电工程学院,B0403071S,激光原理,B09030316,2014年02月20日(16:00-17:50),教2-202
仙林,光电工程学院,B0404091C,激光技术与应用,B09030332,2014年02月21日(18:30-20:20),教3-408
仙林,外国语学院,00X090001,日语（上）,B09030430,2014年02月17日(18:30-20:20),教2-401
仙林,通信与信息工程学院,B0200013S,通信原理C,B09030520,2014年02月22日(07:50-09:40),教2-101
